,star_id,sobject_id,dr2_source_id,dr3_source_id,survey_name,field_id,flag_repeat,wg4_field,wg4_pipeline,flag_sp,teff,e_teff,irfm_teff,irfm_ebv,irfm_ebv_ref,logg,e_logg,fe_h,e_fe_h,flag_fe_h,fe_h_atmo,vmic,vbroad,e_vbroad,chi2_sp,alpha_fe,e_alpha_fe,nr_alpha_fe,flag_alpha_fe,flux_a_fe,chi_a_fe,li_fe,e_li_fe,nr_li_fe,flag_li_fe,c_fe,e_c_fe,nr_c_fe,flag_c_fe,o_fe,e_o_fe,nr_o_fe,flag_o_fe,na_fe,e_na_fe,nr_na_fe,flag_na_fe,mg_fe,e_mg_fe,nr_mg_fe,flag_mg_fe,al_fe,e_al_fe,nr_al_fe,flag_al_fe,si_fe,e_si_fe,nr_si_fe,flag_si_fe,k_fe,e_k_fe,nr_k_fe,flag_k_fe,ca_fe,e_ca_fe,nr_ca_fe,flag_ca_fe,sc_fe,e_sc_fe,nr_sc_fe,flag_sc_fe,sc2_fe,e_sc2_fe,nr_sc2_fe,flag_sc2_fe,ti_fe,e_ti_fe,nr_ti_fe,flag_ti_fe,ti2_fe,e_ti2_fe,nr_ti2_fe,flag_ti2_fe,v_fe,e_v_fe,nr_v_fe,flag_v_fe,cr_fe,e_cr_fe,nr_cr_fe,flag_cr_fe,cr2_fe,e_cr2_fe,nr_cr2_fe,flag_cr2_fe,mn_fe,e_mn_fe,nr_mn_fe,flag_mn_fe,co_fe,e_co_fe,nr_co_fe,flag_co_fe,ni_fe,e_ni_fe,nr_ni_fe,flag_ni_fe,cu_fe,e_cu_fe,nr_cu_fe,flag_cu_fe,zn_fe,e_zn_fe,nr_zn_fe,flag_zn_fe,rb_fe,e_rb_fe,nr_rb_fe,flag_rb_fe,sr_fe,e_sr_fe,nr_sr_fe,flag_sr_fe,y_fe,e_y_fe,nr_y_fe,flag_y_fe,zr_fe,e_zr_fe,nr_zr_fe,flag_zr_fe,mo_fe,e_mo_fe,nr_mo_fe,flag_mo_fe,ru_fe,e_ru_fe,nr_ru_fe,flag_ru_fe,ba_fe,e_ba_fe,nr_ba_fe,flag_ba_fe,la_fe,e_la_fe,nr_la_fe,flag_la_fe,ce_fe,e_ce_fe,nr_ce_fe,flag_ce_fe,nd_fe,e_nd_fe,nr_nd_fe,flag_nd_fe,sm_fe,e_sm_fe,nr_sm_fe,flag_sm_fe,eu_fe,e_eu_fe,nr_eu_fe,flag_eu_fe,ra_dr2,dec_dr2,parallax_dr2,parallax_error_dr2,r_est_dr2,r_lo_dr2,r_hi_dr2,r_len_dr2,rv_galah,e_rv_galah,rv_gaia_dr2,e_rv_gaia_dr2,red_flag,ebv,snr_c1_iraf,snr_c2_iraf,snr_c3_iraf,snr_c4_iraf,flag_guess,v_jk,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,ph_qual_tmass,w2mpro,w2mpro_error,ph_qual_wise,a_ks,e_a_ks,bc_ks,ruwe_dr2,ra,dec
0,08520715+1149254,131217003901002,604906737317927296,604906737317927296,other,-1,0,10k_50,lbol,0,6025.804,82.91905965852722,6234.0,0.05,bay,4.1541624,0.18216475987029215,-0.09262371,0.07001416519071464,0,-0.057527088,1.2631686,9.549839,2.228909882341844,0.5572718,0.0385784407767312,0.03495198504582957,147.0,0,0.5536252,1.2027924,1.4171602249145507,0.07921007172343797,1.0,0,0.22159175872802805,0.11601456448613688,1.0,0,0.1825547027587895,0.11739767362633108,1.0,0,0.10087913513183633,0.04506166142970451,1.0,0,0.0326513290405277,0.06073571956926374,1.0,0,-0.1156674957275392,0.0614048293424906,1.0,0,0.05114725112915064,0.0505365730835975,1.0,0,0.053211383819579794,0.07515165722719254,1.0,0,-0.06068008422851534,0.06645934714283527,1.0,0,0.14947208404541001,0.04749013414224146,1.0,0,None,None,0,0,0.017321875705929926,0.08008179001502842,18.0,0,0.12034662655212647,0.08010037664904554,9.0,0,nan,nan,2.0,32,-0.07428396224975575,0.06575069605169205,1.0,0,None,None,0,0,0.07725564956665032,0.06377293172836201,1.0,0,nan,nan,nan,32,0.1250036549898244,0.07157900572564697,3.0,0,-0.023825225830077734,0.06114494935302285,2.0,0,0.1367855165482193,0.08284868239512186,3.0,0,nan,nan,nan,32,nan,nan,nan,32,-0.014274302654852758,0.11101544779755587,3.0,0,nan,nan,nan,32,nan,nan,nan,32,nan,nan,nan,32,0.012877540588378977,0.07715490423255464,1.0,0,0.742137451171875,0.11995068937540054,2.0,0,nan,nan,1.0,32,nan,nan,2.0,32,nan,nan,2.0,32,nan,nan,nan,32,133.0297309598047,11.823727410430216,1.193912354585676,0.028555407221910495,817.714524735773,798.921882098316,837.39507629947,406.321555084579,33.70600128173828,0.10599999874830246,nan,nan,0,0.0,31.8036867499,48.8591878178,69.3780374889,59.6883753343,0,13.354713,12.312,0.023,12.079,0.023,12.014,0.021,AAA,12.01,0.024,AACU,0.0,0.030515734136543772,1.3385692,0.9519817349608715,133.02972942766417,11.823727025673374
1,08513012+1143498,131217003901063,604910310730772992,604910310730772992,other,-1,0,10k_49,lbol,1,5991.92,82.11515545187801,6273.0,0.08,bay,3.9805598,0.1969210017938334,-0.07237339,0.06848785671379515,0,-0.055923723,1.2459861,8.247668,2.22551331355878,0.5208535,0.018893177627662947,0.029223871923576627,159.0,0,0.5729528,1.1133951,1.4043752670288085,0.07822843078016162,1.0,0,0.04872303009033274,0.1146659522853029,1.0,0,-0.0951228332519527,0.11579678607805671,1.0,0,0.06277507781982461,0.04421141824880141,1.0,0,0.01100387573242223,0.05941628605538639,1.0,0,-0.02765718460083022,0.06045392042497734,1.0,0,0.0015113639831545456,0.049705431223041725,1.0,0,-0.022579021453857706,0.07390340608314618,1.0,0,0.04377586364746122,0.0654717447209248,1.0,0,-0.022898826599121236,0.04662932546880109,1.0,0,None,None,0,0,0.032776154444659526,0.06329529453378466,19.0,0,-0.19745722124167653,0.07681611343584059,9.0,0,nan,nan,nan,32,-0.018909816741943253,0.06452878246470733,1.0,0,None,None,0,0,0.017559452056884695,0.06237078682701462,1.0,0,nan,nan,nan,32,0.0030945437804424567,0.075120183645852,3.0,0,0.032533383733012906,0.05326691334728264,3.0,0,0.16920389584280496,0.08108438689338898,3.0,0,nan,nan,nan,32,nan,nan,nan,32,0.014980088937715016,0.1088228308148358,3.0,0,nan,nan,nan,32,nan,nan,nan,32,nan,nan,nan,32,-0.17775432586669915,0.07579268047795071,1.0,0,0.46728370666503904,0.15536947607965895,1.0,0,nan,nan,1.0,32,nan,nan,2.0,32,nan,nan,2.0,32,nan,nan,nan,32,132.8754964546129,11.730512007632539,1.0969039756034449,0.055235258692954876,887.790359029923,845.415459360818,934.53376273992,407.207045708604,33.83399963378906,0.09399999678134918,nan,nan,0,0.0,33.8301519673,49.7288811238,72.567107869,62.0044413708,0,13.090711,12.011,0.021,11.761,0.022,11.694,0.02,AAA,11.731,0.022,AACU,0.0,0.02856145694677443,1.3553915,1.9118519980286486,132.87549486282987,11.730511618992649
2,08512033+1145523,131217003901081,604911341522929536,604911341522929536,other,-1,0,10k_51,lbol,0,6007.7817,80.50664999999921,6386.0,0.08,bay,3.9733527,0.1859996020339389,-0.12255621,0.06477301699757515,0,-0.10034392,1.2539151,9.348986,2.199834213217853,0.6681468,0.016068295291776,0.02600904021472577,159.0,0,0.53605545,1.5309645,nan,nan,nan,32,-0.08894319534301687,0.10610000154752162,1.0,0,0.1741647529602055,0.10603978398487017,1.0,0,0.1072692298889164,0.03929441388746652,1.0,0,0.006910228729248402,0.05201176650149975,1.0,0,0.004814472198486186,0.05465710644438625,1.0,0,0.03013732910156275,0.044827872970176,1.0,0,0.014415912628173544,0.06652140561869398,1.0,0,0.008946247100830362,0.05948165700924753,1.0,0,0.06521448135375962,0.041494762710894986,1.0,0,None,None,0,0,0.011186691223729516,0.05518719563100791,19.0,0,-0.28623640060424815,0.0885594137048718,8.0,0,nan,nan,2.0,32,0.04605972290039073,0.05728543444244395,1.0,0,None,None,0,0,-0.019656734466552805,0.05434481605478461,1.0,0,0.5553793334960941,0.12348029099940462,8.0,0,-0.04425237655639691,0.08029207592883328,2.0,0,0.09078795418644446,0.04478302973064298,3.0,0,0.12591971167503463,0.07072252105708798,3.0,0,nan,nan,nan,32,nan,nan,nan,32,0.00554117673519664,0.09595527744564744,3.0,0,nan,nan,nan,32,nan,nan,nan,32,nan,nan,nan,32,0.06676538467407234,0.06773159472683277,1.0,0,nan,nan,4.0,32,nan,nan,1.0,32,nan,nan,nan,32,nan,nan,2.0,32,nan,nan,nan,32,132.83466054538366,11.764565371582327,1.1115782912564085,0.03463680208968138,876.624914773709,850.616114154251,904.241172668099,407.247344152405,33.33100128173828,0.08699999749660492,nan,nan,0,0.0321745,38.4555318511,55.5695313006,78.4251871701,64.0196135529,0,13.096009,12.061,0.019,11.822,0.02,11.767,0.02,AAA,11.61,0.022,AABU,0.12117558677673392,0.027294102064079714,1.3456683,1.1398400249583456,132.83465900484816,11.764564997160335
3,08511544+1147313,131217003901111,604917560635575808,604917560635575808,other,-1,0,10k_59,lbol,0,6286.44,75.50032395925889,6489.0,0.05,bay,4.0038705,0.18741865157974588,-0.07144165,0.057376129587749666,0,-0.038772173,1.4260392,12.92174,2.1559469049559716,0.8996456,0.03519861804701579,0.019543186715161445,159.0,0,0.4396243,1.9684138,nan,nan,nan,32,0.21391372680664134,0.08282186473143113,1.0,0,0.19182727813720746,0.08323936189552658,1.0,0,0.19849485397338906,0.029770017773385806,1.0,0,0.09425392150878942,0.039101807470646927,1.0,0,0.0007761383056639204,0.04110024120406722,1.0,0,-0.03820821762084936,0.034876118428053514,1.0,0,0.08621423721313448,0.05104100348337824,1.0,0,0.10179121017456083,0.04572697067706086,1.0,0,0.03893169403076158,0.030392077485695404,1.0,0,None,None,0,0,0.01994993221210346,0.03881309772779902,19.0,0,-0.016751403808593857,0.06409607061594691,8.0,0,nan,nan,nan,32,-0.055160408020019425,0.04196705525322071,1.0,0,None,None,0,0,0.04079191207885735,0.0393493536905989,1.0,0,nan,nan,nan,32,nan,nan,nan,32,0.16077655792236367,0.039433502439768724,2.0,0,0.15394691579723288,0.04956402535454045,3.0,0,nan,nan,nan,32,nan,nan,nan,32,1.1088249703802882,0.06974017775267913,3.0,0,nan,nan,nan,32,nan,nan,nan,32,nan,nan,nan,32,0.642363624572754,0.05078915957183364,1.0,0,0.684746576623754,0.06963942443136395,6.0,0,nan,nan,nan,32,nan,nan,nan,32,nan,nan,nan,32,nan,nan,nan,32,132.81430957930536,11.792066033914956,1.1639265414333495,0.044769779874360996,838.205767153568,807.69184506205,871.065088753806,407.232936780115,27.315000534057617,0.11900000274181366,37.298214,4.553288,0,0.0,56.5646002945,75.117307999,103.851498046,81.6091217462,0,12.712491,11.708,0.021,11.475,0.02,11.43,0.018,AAA,11.414,0.021,AABU,0.0,0.026621999840064615,1.204363,1.0456708742602188,132.81430795998233,11.792065766969978
4,08510925+1148206,131217003901216,604914708777297280,604914708777297280,other,-1,0,10k_52,lbol,0,5993.6504,83.60251745369996,6189.0,0.05,bay,4.0605745,0.18456076058400114,-0.12629843,0.07090661427199918,0,-0.10519367,1.2468413,8.777437,2.228636273046856,0.5898427,-0.014256765831771354,0.03117042776931804,159.0,0,0.5574506,1.2756808,1.3858296394348144,0.08162347882054131,1.0,0,0.20151548385620188,0.11931757254613061,1.0,0,0.04702184677124066,0.1213920711487193,1.0,0,0.0746592903137211,0.04723459167838644,1.0,0,-0.05236301422119105,0.06415496361501226,1.0,0,-0.15353599548339858,0.06377722114708262,1.0,0,0.03320339202880884,0.05264641892579717,1.0,0,0.047340087890624716,0.07830917749257824,1.0,0,0.02155096054077177,0.0689289458848444,1.0,0,0.08092531204223619,0.049659086186806006,1.0,0,None,None,0,0,-0.08589141347296936,0.06819903245742684,19.0,0,-0.13294857278760255,0.08497700442943888,9.0,0,nan,nan,nan,32,0.034808273315429794,0.06883825555922517,1.0,0,None,None,0,0,0.00022117614746086645,0.06737332547208116,1.0,0,nan,nan,nan,32,0.0018134307861323862,0.09532281292154282,2.0,0,-0.03969675064086875,0.06388780069367314,2.0,0,-0.06391902617386275,0.08732503247932648,3.0,0,nan,nan,nan,32,nan,nan,nan,32,-0.09231373583161617,0.11657979151147019,3.0,0,nan,nan,nan,32,nan,nan,nan,32,nan,nan,nan,32,0.004685001373291087,0.08059973429072644,1.0,0,nan,nan,nan,32,nan,nan,1.0,32,nan,nan,2.0,32,nan,nan,2.0,32,nan,nan,nan,32,132.78847502525508,11.805723620807528,1.0996110141109265,0.033267794050611095,885.910059552024,860.374438809072,912.976343084739,407.284428398051,38.25899887084961,0.11400000005960464,nan,nan,0,0.0339643,32.9073944697,46.7811053696,71.1050335463,70.2091141834,0,13.405405,12.292,0.022,12.009,0.02,11.958,0.02,AAA,11.923,0.022,AABU,0.005507838912963827,0.027294102064079714,1.353193,1.0007544070909324,132.7884736054834,11.805723194140635
5,08511362+1151182,131217003901282,604920957953908864,604920957953908864,other,-1,0,10k_51,lbol,0,6008.7446,90.78980559049187,6419.0,0.08,bay,4.1713576,0.18340069799822717,-0.1479001,0.08640967298496022,0,-0.13757005,1.2544029,8.193805,2.3451460694697213,0.43056166,-0.01232004178330678,0.04444293753878614,31.0,0,0.5675472,0.9595433,1.3526761054992675,0.09908029699878557,1.0,0,0.21176557540893626,0.1427356442137111,1.0,0,0.07647035598754925,0.15263756571730258,1.0,0,0.06466001510620156,0.06658481495826767,1.0,0,-0.07592687606811488,0.09702824096325116,1.0,0,-0.1046201324462892,0.08232504712835828,1.0,0,-0.008037300109863033,0.07075677800476995,1.0,0,-0.08073360443115263,0.10489882289732466,1.0,0,0.028070278167724894,0.08847522259072624,1.0,0,0.050296154022216655,0.06754128402226445,1.0,0,None,None,0,0,0.0495552016509758,0.09850971830343941,19.0,0,0.1990489006042484,0.1283935832309913,2.0,0,nan,nan,nan,32,-0.14332473754882802,0.09468707876941729,1.0,0,None,None,0,0,-0.004667358398437571,0.10027802174292169,1.0,0,0.6234239959716801,0.17560296627278932,8.0,0,-0.11200616836547894,0.12642038034750852,2.0,0,-0.037370738983153906,0.0864402906718521,2.0,0,-0.025365247223691222,0.1255648070783463,3.0,0,nan,nan,1.0,32,nan,nan,nan,32,-0.09926150159719446,0.16405836228858556,3.0,0,nan,nan,16.0,32,nan,nan,nan,32,nan,nan,2.0,32,0.0150018501281739,0.10956370853875877,1.0,0,nan,nan,nan,32,nan,nan,1.0,32,nan,nan,2.0,32,nan,nan,2.0,32,nan,nan,nan,32,132.80668736805333,11.85507807940799,1.1286961913784512,0.027071634496414712,863.726911158463,843.851119843539,884.543000036635,407.054665017928,33.88399887084961,0.1340000033378601,nan,nan,0,0.0,22.6266144199,33.8145376504,57.2478075056,56.8545912437,0,13.660427,12.555,0.023,12.273,0.022,12.225,0.021,AAA,12.271,0.022,AAUU,0.0,0.02856145694677443,1.3449137,0.9967540535923759,132.8066858189857,11.855077647183508
6,08513194+1153117,131217003901328,604922779020036992,604922779020036992,other,-1,0,10k_53,lbol,0,6070.9053,83.96230737509536,6338.0,0.08,bay,4.0375047,0.1843315843523543,-0.049190998,0.07165751760940152,0,-0.046928458,1.2874637,6.6713047,2.2612390253877006,0.47745824,-0.05452532187063116,0.04431029974954852,154.0,0,0.57783246,1.0343587,1.1400582313537597,0.08489354513762863,1.0,0,0.10396318435669016,0.12376555820800537,1.0,0,0.07918069839477582,0.1269347848121514,1.0,0,0.06407445907592813,0.05036854855983016,1.0,0,0.06855287551879918,0.0691980536477909,1.0,0,-0.09658256530761733,0.06706867900666379,1.0,0,-0.04455015182495092,0.05565654423393131,1.0,0,-0.011135883331299112,0.08278850883385754,1.0,0,0.013130493164062784,0.07236797152849371,1.0,0,-0.018599185943603658,0.05271665705013007,1.0,0,None,None,0,0,-0.07179250778257328,0.0732262620888061,19.0,0,-0.1017671706788707,0.08552158703132322,9.0,0,nan,nan,2.0,32,-0.154397850036621,0.07321071966704304,1.0,0,None,None,0,0,-0.016806678771972727,0.07260576538062062,1.0,0,nan,nan,nan,32,0.055641670227050355,0.10079427177545078,2.0,0,0.04152972846576434,0.05755199948504505,3.0,0,0.01542354583740213,0.16986192915045045,1.0,0,nan,nan,nan,32,nan,nan,nan,32,0.011013298513937614,0.12451179141362426,3.0,0,nan,nan,nan,32,nan,nan,nan,32,nan,nan,nan,32,0.05545862197875984,0.08548438770065973,1.0,0,nan,nan,nan,32,nan,nan,1.0,32,nan,nan,2.0,32,nan,nan,2.0,32,nan,nan,nan,32,132.88307397557406,11.886586539202264,1.1766231808923402,0.034193442102628514,829.420163777322,806.385897579842,853.782116170701,406.665104699816,33.24700164794922,0.08500000089406967,nan,nan,0,0.0,30.9336232997,44.0921390848,71.3417625001,70.7391810887,0,13.144476,12.013,0.02,11.724,0.02,11.67,0.023,AAA,11.686,0.023,AABU,0.0,0.02798018204880734,1.3149362,1.0794697644898739,132.8830724393302,11.88658613865033
7,08513710+1154599,131217003901337,604922920754523136,604922920754523136,other,-1,0,10k_50,lbol,8,5984.4004,82.35599899833133,6274.0,0.08,bay,4.0205793,0.18073501176194534,-0.13559675,0.06888624615485515,0,-0.101310916,1.2422976,8.947213,2.230657652712849,1.1433022,0.015533874260279221,0.029851572419776765,159.0,0,0.54178315,5.2828946,nan,nan,nan,32,0.1926205635070808,0.11620370250344118,1.0,0,0.1373138236999516,0.11762358791936153,1.0,0,0.05424207687377969,0.04518260504668137,1.0,0,0.03081407546997106,0.06092426860978566,1.0,0,0.05641302108764634,0.06153901543320592,1.0,0,0.020258216857910405,0.05065453585834674,1.0,0,-0.011832065582275675,0.07532861259916103,1.0,0,0.033984966278076456,0.06659881767237613,1.0,0,0.02672227859497056,0.047612006072025564,1.0,0,None,None,0,0,-0.03656070491995333,0.08283056185066703,17.0,0,0.02716688900438205,0.0765586948155228,9.0,0,nan,nan,2.0,32,0.004626865386962997,0.06592385561902422,1.0,0,None,None,0,0,-0.07781703948974616,0.06397269362492893,1.0,0,nan,nan,nan,32,0.07847883224487262,0.09161558072346244,2.0,0,0.05834832899820098,0.05135850794719171,3.0,0,0.0422372934249719,0.08309904691589828,3.0,0,nan,nan,1.0,32,nan,nan,nan,32,0.033443708218012666,0.11132662095561284,3.0,0,nan,nan,nan,32,nan,nan,nan,32,nan,nan,nan,32,-0.04505006790161126,0.07734799824217456,1.0,0,nan,nan,4.0,32,nan,nan,1.0,32,nan,nan,2.0,32,nan,nan,2.0,32,nan,nan,nan,32,132.90459085837054,11.916653028310368,1.1363221981671396,0.025055344239091497,858.087742798045,839.896893753139,877.068561065321,406.485216305497,34.50400161743164,0.11599999666213989,nan,nan,12,0.0,34.1393977787,48.7382218963,76.8121381486,75.0283082652,0,13.207409,12.096,0.021,11.819,0.022,11.763,0.023,AAA,11.761,0.023,AABU,0.0,0.029217792574430555,1.3580282,1.0458061505148164,132.90458932171813,11.916652622822426
8,08513427+1149438,131217003901349,604917865577461888,604917865577461888,other,-1,0,10k_53,lbol,0,6097.443,83.04922817098894,6474.0,0.08,bay,3.9908266,0.1856666747683075,-0.13879108,0.07243915331404185,0,-0.10355417,1.3025194,10.7176285,2.2434701824012535,0.6300282,-0.006939355086710662,0.03524660063920741,155.0,0,0.48789567,1.2527952,nan,nan,nan,32,0.001478958129883523,0.11989737265035941,1.0,0,0.2147202301025395,0.12210395860680034,1.0,0,0.07680696487426797,0.04762946062326032,1.0,0,-0.0062833786010738635,0.06478332121262254,1.0,0,-0.0625959968566896,0.06419999827148501,1.0,0,-0.007650585174560298,0.05302773929879447,1.0,0,-0.001174278259277628,0.07887821969891895,1.0,0,0.051747627258301065,0.06936986915820491,1.0,0,0.10342105865478501,0.0500487304761829,1.0,0,None,None,0,0,-0.006481486186673556,0.06883546659545042,19.0,0,0.0063340704157118346,0.07664400504329819,9.0,0,nan,nan,nan,32,-0.046926860809326065,0.06939420213859443,1.0,0,None,None,0,0,-0.028401451110839915,0.06803009964440945,1.0,0,nan,nan,nan,32,nan,nan,nan,32,-0.027219352722167578,0.06438034264303027,2.0,0,0.022589454650878693,0.16101108037713163,1.0,0,nan,nan,nan,32,nan,nan,nan,32,0.07306391339053643,0.11758511632811665,3.0,0,nan,nan,16.0,32,nan,nan,nan,32,nan,nan,2.0,32,0.050206260681152415,0.08122041024932969,1.0,0,nan,nan,nan,32,nan,nan,1.0,32,nan,nan,2.0,32,nan,nan,2.0,32,nan,nan,nan,32,132.8927824980319,11.828838696681448,1.1814296901732715,0.03821607761756243,826.127619578052,800.670615733187,853.22265439153,406.818905474847,34.224998474121094,0.11599999666213989,nan,nan,0,0.0,33.9054166348,46.4236633947,76.1388993993,74.6676005374,0,12.816076,11.804,0.022,11.569,0.022,11.522,0.02,AAA,11.558,0.022,AABU,0.0,0.02856145694677443,1.2992333,1.0143187381269834,132.8927809566184,11.82883833383453
9,08513364+1151449,131217003901376,604918282190043648,604918282190043648,other,-1,0,10k_49,lbol,41,5860.715,86.01848683984191,6081.0,0.08,bay,3.2140596,0.5125006427067528,-0.18041086,0.09859669655409731,0,-0.16401544,1.1881176,41.756035,2.8864220752213257,1.3851424,0.30358319165409464,0.04242928549595912,7.0,0,0.27116024,3.5907984,1.4281203269958496,0.0879951465515091,1.0,0,nan,nan,nan,32,-0.2562112998962398,0.13232761100536442,1.0,0,0.36377805709838906,0.08144017308950424,1.0,0,0.5366257667541507,0.09719725698232651,1.0,0,0.1435788536071776,0.0702705825110923,1.0,0,0.11912420272827173,0.058673436962118644,1.0,0,0.09382741928100558,0.09640451520681381,1.0,0,0.48526222229003935,0.07926791906356812,1.0,0,0.0019696617126463423,0.07120554894208908,1.0,0,None,None,0,0,nan,nan,nan,32,nan,nan,nan,32,nan,nan,nan,32,0.12533390045166026,0.12318574637174606,1.0,0,None,None,0,0,0.7227219772338866,0.09302286803722382,1.0,0,nan,nan,nan,32,0.7469082069396968,0.15398401021957397,2.0,0,0.42223495483398477,0.09072206169366837,2.0,0,0.3317590141296387,0.23630304634571075,2.0,0,nan,nan,nan,32,nan,nan,nan,32,-0.47861012458801255,0.1613054207457684,2.0,1,nan,nan,nan,32,nan,nan,nan,32,nan,nan,nan,32,-0.4599403572082519,0.11653537303209305,1.0,0,nan,nan,4.0,32,nan,nan,1.0,32,nan,nan,2.0,32,nan,nan,2.0,32,nan,nan,nan,32,132.89017247955167,11.862498400563576,0.027293139348614444,0.17462145271432467,2558.1374094056,1979.63746169016,3365.8960305886,406.717820595888,51.849998474121094,0.3269999921321869,nan,nan,12,0.0,28.8740744629,41.6645515335,71.2611345085,72.7371560277,0,13.221,12.026,0.022,11.719,0.02,11.652,0.021,AAA,11.671,0.022,AABU,0.0,0.027294102064079714,1.4232283,6.03865069735066,132.89017067428628,11.862498376939232
