source_id,barycentric_distance,parallax,parallax_error
1830303916667961345,7712.8394,0.060811028,0.7818737
1830303916667961346,9112.694,0.27063927,0.77136576
1829947361502167041,2448.4163,2.9152093,0.85414046
1829947365662916609,337.0442,3.2031474,0.3155257
1830303822312898561,17636.555,-0.10905181,1.5581756
1830303938142797825,2903.5466,-0.1176047,0.30408442
1830300218701119490,3274.0623,0.4220032,0.8461444
1830300218835337219,6725.9663,1.1032498,1.0868056
1830303689034694657,6348.4067,1.173943,1.0503385
1830303869557538817,8662.839,1.1660668,0.699657
1829946386410373121,341.5265,3.056854,0.081766166
1830303839358550017,1242.933,0.41420498,0.8414939
1830303839492767746,2258.75,0.4212916,5.0530252
1830300222996086787,2124.061,0.77004176,0.6982485
1830300223130304514,992.46967,0.34256142,1.1133915
1830300223264522242,992.4694,2.2052822,1.3246006
1830301545846013954,2598.0852,0.46246317,0.18762404
1830303693329661953,637.4759,1.2938228,0.58219767
1829946395134525441,2634.0713,2.6670928,1.4419365
1829946395268743169,2634.0713,1.2614759,1.8901553
1829954860515065857,887.5486,0.973973,0.06260509
1829954860649283585,887.5485,0.950777,0.18203644
1829954868970782721,793.0717,1.2556129,1.2560127
1829954868970782722,1288.307,0.66190654,2.474104
1830303482876264449,15763.585,0.67502886,1.2841746
1830303487171231745,3736.1382,0.31365073,0.46280843
1830301511620493313,1771.6477,0.539144,0.08985919
1830352497043046401,547.9374,1.9409757,0.17916785
1829947803749580801,1311.5214,0.19172087,1.2439845
1829947803749580802,6847.098,-0.48861042,1.6379919
1829947808044548099,11803.314,0.439916,0.6828059
1830352149284913153,5912.7217,-0.12562104,0.48358947
1830301524371177473,1251.4863,0.25565904,0.8254763
1830300386204844034,347.09805,3.2965965,0.4138716
1830303744869269505,1529.6449,0.6758536,0.076216705
1829947812473733121,13126.303,0.24627787,0.40022087
1830303710509531137,1056.7294,0.20549653,0.9287242
1830303710509531138,1055.217,1.0227766,0.1761063
1830303714804498433,5017.0356,0.8597006,0.42588243
1830303719099465729,1532.327,-2.3988013,4.2969136
1830301507325526017,3043.8594,-0.08588404,1.3562925
1830301507593961473,3043.8367,0.15825205,0.16279057
1829954907625488385,1463.0593,-0.16967046,0.44347507
1830303701919596546,1444.8195,-1.5227046,1.2596464
1830303702053814273,745.7606,1.4294901,0.052326284
1830303702188032001,745.7606,0.60735035,1.7992363
1829946098647564290,2662.9758,0.43206245,0.118733175
1830300390499811329,538.858,1.6976453,0.17706452
1830300399089745921,1711.1058,0.6782564,0.13307922
1830300399089745923,1459.2286,0.37635878,0.35675848
1830440505217908739,579.7111,1.6445584,0.49799305
1830440505352126465,10895.492,-0.46741232,0.5321155
1829952476942434305,471.09143,2.5510445,0.2866118
1830352471273242625,2885.0576,-0.10412459,0.69506824
1830352475568209922,3343.8555,3.7472203,4.0559664
1830352475702427649,453.39166,2.22899,0.051467124
1830352475702427651,1418.2738,1.0299138,0.7474163
1830352475836645377,453.3916,2.2509527,0.05294019
1830352479863177218,747.5667,1.1491284,0.113476254
1830352479997394945,622.65594,0.82013386,0.6795303
1830437795093544961,511.46393,1.8559319,0.18282704
1830440518102810625,821.7084,1.2616014,0.5290854
1830439173912264706,2247.3594,1.0151666,1.1993657
1830439174180700162,2247.3596,0.4711641,0.17300242
1830300420698800129,8984.168,0.5310924,0.48910475
1830300429154516993,893.6916,3.199051,3.8831904
1830440440793399298,1667.9092,-1.1407385,1.4047174
1830440440793399300,5408.254,-2.7480707,1.4317825
1830440440927617027,3231.1248,1.3638382,0.5602463
1830440445088366594,1437.7406,0.6861601,0.06547797
1830440445222584321,7457.5186,-0.15319043,1.3881685
1830440449383333890,3282.7458,1.180033,1.0976365
1830440449383333892,1979.0758,0.534979,0.052082397
1830440453678301186,7608.5347,-0.08076622,0.9488658
1830440453812518913,685.3054,1.4160814,0.05203458
1830440458107486209,892.97766,1.2100958,0.25704435
1830440458241703937,892.9777,3.247488,1.5714667
1830440462268235777,6073.0586,-2.9955852,1.7843895
1830440466563203073,540.171,1.8278246,0.14325383
1830440466563203074,2117.9595,0.50189793,0.23671038
1830440466697420803,3546.9834,1.2464192,0.6491135
1830440466831638531,3546.9834,2.3671274,2.4230862
1829952438019293185,4211.2983,-0.707651,1.2589297
1830440470992388097,1140.8887,0.5268504,1.661279
1829945415747764225,494.20508,2.0925357,0.357896
1830440483877289985,445.63202,2.3091571,0.13709188
1830352110630207490,1285.5537,0.35384953,0.21319437
1830352110630207491,3338.7224,0.38588834,0.114036135
1830352110764425218,1285.5536,2.9312487,2.0289152
1830438898900140033,1289.5657,0.65997666,0.27870694
1830438898900140034,421.90814,2.1816447,0.24866685
1829955014999670785,843.1112,1.7184926,0.41335672
